corpus_position,source_row_abs,EID_o_identificador,insumo_row,record_chars
13359,13359,2-s2.0-84920572678,13359,1315
13367,13367,2-s2.0-84919922746,13367,1028
13368,13368,2-s2.0-84919922281,13368,1414
13373,13373,2-s2.0-84919917029,13373,1794
13407,13407,2-s2.0-85107249425,13407,1328
13415,13415,2-s2.0-84910595266,13415,1907
13421,13421,2-s2.0-84911488546,13421,2292
13429,13429,2-s2.0-84914682280,13429,1322
13432,13432,2-s2.0-84911972653,13432,1787
13436,13436,2-s2.0-84937598798,13436,2127
13473,13473,2-s2.0-84908428328,13473,349
13477,13477,2-s2.0-84912035516,13477,1916
13478,13478,2-s2.0-84908077900,13478,3061
13490,13490,2-s2.0-84908563240,13490,857
13509,13509,2-s2.0-84918511246,13509,1447
13533,13533,2-s2.0-84930822077,13533,1754
13544,13544,2-s2.0-84910132983,13544,1488
13548,13548,2-s2.0-84907568000,13548,1452
13558,13558,2-s2.0-84912042091,13558,1988
13588,13588,2-s2.0-85027924008,13588,696
13590,13590,2-s2.0-84952905005,13590,1196
13592,13592,2-s2.0-84944219998,13592,2578
13609,13609,2-s2.0-84907187008,13609,2738
13636,13636,2-s2.0-84907918407,13636,1255
13638,13638,2-s2.0-84907915658,13638,931
13646,13646,2-s2.0-84907912209,13646,1642
13651,13651,2-s2.0-84907435628,13651,828
13666,13666,2-s2.0-84905197293,13666,1196
13683,13683,2-s2.0-85058314343,13683,1330
13686,13686,2-s2.0-84964897188,13686,1296
13696,13696,2-s2.0-84953263773,13696,2220
13720,13720,2-s2.0-84925245308,13720,540
13723,13723,2-s2.0-84927529863,13723,1760
13729,13729,2-s2.0-84902187215,13729,525
13749,13749,2-s2.0-84945412815,13749,1492
13750,13750,2-s2.0-84945381574,13750,1291
13757,13757,2-s2.0-84901429274,13757,640
13767,13767,2-s2.0-84907581494,13767,773
13773,13773,2-s2.0-84895165163,13773,1350
13781,13781,2-s2.0-84901741885,13781,1833
13795,13795,2-s2.0-85042843348,13795,2363
13796,13796,2-s2.0-85030545955,13796,1655
13800,13800,2-s2.0-84946693644,13800,1436
13813,13813,2-s2.0-84909646263,13813,1088
13819,13819,2-s2.0-84898758834,13819,1141
13830,13830,2-s2.0-84894276323,13830,1396
13864,13864,2-s2.0-84897641387,13864,1640
13866,13866,2-s2.0-85082081696,13866,1368
13867,13867,2-s2.0-85082063487,13867,1068
13878,13878,2-s2.0-84897860151,13878,977
13881,13881,2-s2.0-84897607057,13881,463
13884,13884,2-s2.0-84896511285,13884,1766
13888,13888,2-s2.0-84895087726,13888,1725
13917,13917,2-s2.0-84893787468,13917,2026
13932,13932,2-s2.0-84895900336,13932,1757
13940,13940,2-s2.0-84893646831,13940,2950
13966,13966,2-s2.0-84892501801,13966,1765
13976,13976,2-s2.0-84951825319,13976,1301
13980,13980,2-s2.0-84946691486,13980,1683
13981,13981,2-s2.0-84891676086,13981,1425
13983,13983,2-s2.0-85013690421,13983,1020
13984,13984,2-s2.0-84891501407,13984,1218
14008,14008,2-s2.0-85131500819,14008,1539
14035,14035,2-s2.0-85105653119,14035,481
14043,14043,2-s2.0-85101104609,14043,2553
14064,14064,2-s2.0-85071794527,14064,2593
14066,14066,2-s2.0-85071419613,14066,1310
14069,14069,2-s2.0-85069547148,14069,1571
14073,14073,2-s2.0-85065681567,14073,2060
14074,14074,2-s2.0-85065556079,14074,906
14079,14079,2-s2.0-85054908775,14079,1882
14096,14096,2-s2.0-85030110753,14096,2425
14097,14097,2-s2.0-85029626391,14097,1970
14105,14105,2-s2.0-85028652082,14105,166
14108,14108,2-s2.0-85027920573,14108,1409
14116,14116,2-s2.0-85020915976,14116,1065
14119,14119,2-s2.0-85020324393,14119,217
14124,14124,2-s2.0-85017727625,14124,364
14133,14133,2-s2.0-85012050259,14133,698
14157,14157,2-s2.0-84987926136,14157,1944
14164,14164,2-s2.0-84975636059,14164,1534
14192,14192,2-s2.0-84958522104,14192,1339
14213,14213,2-s2.0-84955257201,14213,1068
14233,14233,2-s2.0-84948159124,14233,1758
14234,14234,2-s2.0-84948133096,14234,1991
14236,14236,2-s2.0-84948065617,14236,5780
14238,14238,2-s2.0-84947071129,14238,1751
14242,14242,2-s2.0-84945124874,14242,1919
14250,14250,2-s2.0-84943257118,14250,1170
14259,14259,2-s2.0-84940279250,14259,1711
14260,14260,2-s2.0-84940266125,14260,1952
14261,14261,2-s2.0-84940256524,14261,903
14271,14271,2-s2.0-84939200510,14271,1136
14285,14285,2-s2.0-84937792798,14285,815
14291,14291,2-s2.0-84933524858,14291,1431
14300,14300,2-s2.0-84929241790,14300,1454
14314,14314,2-s2.0-84927603771,14314,1468
14320,14320,2-s2.0-84926671444,14320,1681
14323,14323,2-s2.0-84926292582,14323,1860
14346,14346,2-s2.0-84923886798,14346,2406
14349,14349,2-s2.0-84923875669,14349,1418
14354,14354,2-s2.0-84923649628,14354,1370
14364,14364,2-s2.0-84923531242,14364,2365
14365,14365,2-s2.0-84923066897,14365,1199
14369,14369,2-s2.0-84922824345,14369,1356
14379,14379,2-s2.0-84922287207,14379,1501
14384,14384,2-s2.0-84922146060,14384,1797
14388,14388,2-s2.0-84921843555,14388,1689
14404,14404,2-s2.0-84920263432,14404,1294
14421,14421,2-s2.0-84918553284,14421,2167
14446,14446,2-s2.0-84912031142,14446,762
14456,14456,2-s2.0-84910102395,14456,2092
14458,14458,2-s2.0-84910090561,14458,1471
14492,14492,2-s2.0-84907806235,14492,1116
14523,14523,2-s2.0-84906751055,14523,1886
14525,14525,2-s2.0-84906727650,14525,1667
14553,14553,2-s2.0-84906322884,14553,2118
14571,14571,2-s2.0-84905856931,14571,2656
14588,14588,2-s2.0-84905445511,14588,1877
14610,14610,2-s2.0-84905190705,14610,2840
14617,14617,2-s2.0-84905189475,14617,2615
14623,14623,2-s2.0-84905186348,14623,1797
14642,14642,2-s2.0-84905179012,14642,1858
14655,14655,2-s2.0-84905172300,14655,2807
14669,14669,2-s2.0-84905166403,14669,789
14681,14681,2-s2.0-84905161120,14681,1267
14690,14690,2-s2.0-84905052665,14690,1547
14706,14706,2-s2.0-84904730525,14706,2280
14708,14708,2-s2.0-84904700496,14708,1845
14722,14722,2-s2.0-84904600858,14722,1987
14728,14728,2-s2.0-84904568195,14728,1138
14769,14769,2-s2.0-84903965525,14769,1436
14792,14792,2-s2.0-84903523322,14792,1050
14796,14796,2-s2.0-84903467823,14796,1083
14802,14802,2-s2.0-84903450485,14802,2074
14818,14818,2-s2.0-84902855475,14818,1981
14841,14841,2-s2.0-84902500155,14841,1638
14847,14847,2-s2.0-84902456344,14847,1578
14852,14852,2-s2.0-84902343344,14852,1510
14857,14857,2-s2.0-84902327251,14857,2128
14873,14873,2-s2.0-84902108846,14873,891
14896,14896,2-s2.0-84901755723,14896,1243
14899,14899,2-s2.0-84901653110,14899,2012
14906,14906,2-s2.0-84901626301,14906,1273
14912,14912,2-s2.0-84901612056,14912,1317
14921,14921,2-s2.0-84901458500,14921,1929
14924,14924,2-s2.0-84901437794,14924,1337
14931,14931,2-s2.0-84901379935,14931,1743
14935,14935,2-s2.0-84901322067,14935,2412
14957,14957,2-s2.0-84900533193,14957,1417
14965,14965,2-s2.0-84899994655,14965,1141
14990,14990,2-s2.0-84899657687,14990,1159
15019,15019,2-s2.0-84898804701,15019,2038
15022,15022,2-s2.0-84898655664,15022,783
15024,15024,2-s2.0-84898547645,15024,1338
15036,15036,2-s2.0-84898021206,15036,1154
15037,15037,2-s2.0-84898015086,15037,1364
15039,15039,2-s2.0-84898010611,15039,1391
15043,15043,2-s2.0-84897974310,15043,1994
15044,15044,2-s2.0-84897970693,15044,1693
15045,15045,2-s2.0-84897962120,15045,1931
15050,15050,2-s2.0-84897939173,15050,1008
15058,15058,2-s2.0-84897616699,15058,1349
15069,15069,2-s2.0-84897457434,15069,1446
15073,15073,2-s2.0-84897426147,15073,1558
15105,15105,2-s2.0-84896511885,15105,1678
15113,15113,2-s2.0-84896308776,15113,9623
15122,15122,2-s2.0-84895473700,15122,984
15124,15124,2-s2.0-84895118714,15124,1393
15125,15125,2-s2.0-84894907316,15125,1453
15130,15130,2-s2.0-84894584054,15130,1888
15157,15157,2-s2.0-84892952738,15157,1578
15179,15179,2-s2.0-84892366967,15179,2185
15210,15210,2-s2.0-84887827079,15210,1164
15216,15216,2-s2.0-84885909161,15216,1985
15217,15217,2-s2.0-84885771392,15217,1876
15235,15235,2-s2.0-84949809323,15235,4013
15236,15236,2-s2.0-84942412974,15236,1656
15272,15272,2-s2.0-84960375393,15272,2155
15279,15279,2-s2.0-84960352070,15279,1117
15283,15283,2-s2.0-84960335476,15283,2135
15292,15292,2-s2.0-84937520912,15292,1148
15299,15299,2-s2.0-85035150540,15299,1596
15307,15307,2-s2.0-84983356631,15307,1261
15321,15321,2-s2.0-84957801276,15321,1818
15325,15325,2-s2.0-84955472214,15325,1438
15329,15329,2-s2.0-84954175671,15329,1367
15372,15372,2-s2.0-84947560069,15372,901
15375,15375,2-s2.0-84947225526,15375,1075
15386,15386,2-s2.0-84938149862,15386,2390
15397,15397,2-s2.0-84946488815,15397,1965
15412,15412,2-s2.0-84964765674,15412,1278
15464,15464,2-s2.0-84944875546,15464,1412
15471,15471,2-s2.0-84943365068,15471,2814
15492,15492,2-s2.0-84949105315,15492,1836
15508,15508,2-s2.0-84945939750,15508,2056
15522,15522,2-s2.0-84943451093,15522,1402
15527,15527,2-s2.0-84952759390,15527,1536
15534,15534,2-s2.0-84949439701,15534,1061
15542,15542,2-s2.0-84942572552,15542,648
15551,15551,2-s2.0-84962541313,15551,1968
15552,15552,2-s2.0-84960464878,15552,2057
15556,15556,2-s2.0-84947550044,15556,976
15562,15562,2-s2.0-84945191974,15562,1587
15572,15572,2-s2.0-84943381992,15572,1859
15590,15590,2-s2.0-84940033849,15590,1244
15595,15595,2-s2.0-84941993854,15595,1319
15596,15596,2-s2.0-84962173280,15596,1670
15598,15598,2-s2.0-84955606531,15598,1174
15599,15599,2-s2.0-84938893105,15599,1938
15606,15606,2-s2.0-84961755672,15606,1187
15611,15611,2-s2.0-84959866247,15611,2139
15613,15613,2-s2.0-84941957665,15613,1457
15620,15620,2-s2.0-84957889239,15620,1299
15644,15644,2-s2.0-84942195711,15644,1327
15648,15648,2-s2.0-85035137084,15648,1579
15663,15663,2-s2.0-84941949684,15663,1738
15680,15680,2-s2.0-84937027279,15680,2684
15685,15685,2-s2.0-84929078384,15685,1384
15697,15697,2-s2.0-85014888482,15697,969
15710,15710,2-s2.0-105004720230,15710,1103
15719,15719,2-s2.0-84938923604,15719,1382
15721,15721,2-s2.0-84960964786,15721,1778
15722,15722,2-s2.0-84940668419,15722,1831
15730,15730,2-s2.0-85119461875,15730,494
15734,15734,2-s2.0-84957599334,15734,565
15768,15768,2-s2.0-84935136461,15768,2558
15769,15769,2-s2.0-84928617159,15769,2421
15799,15799,2-s2.0-84937038569,15799,888
15809,15809,2-s2.0-84930790108,15809,1927
15811,15811,2-s2.0-84959312863,15811,1721
15817,15817,2-s2.0-84936746773,15817,620
15818,15818,2-s2.0-84936118531,15818,1565
15824,15824,2-s2.0-84949805819,15824,1024
15831,15831,2-s2.0-84939199036,15831,267
15839,15839,2-s2.0-84929704248,15839,1283
15850,15850,2-s2.0-84938546041,15850,1145
15853,15853,2-s2.0-84936845817,15853,1409
15877,15877,2-s2.0-84937908638,15877,3755
15882,15882,2-s2.0-84936130746,15882,1111
15900,15900,2-s2.0-84929707526,15900,1819
15907,15907,2-s2.0-84961886541,15907,1277
15914,15914,2-s2.0-84937759211,15914,2220
15926,15926,2-s2.0-84942784973,15926,1701
15934,15934,2-s2.0-84942776480,15934,1845
15937,15937,2-s2.0-84942773837,15937,1136
15938,15938,2-s2.0-84942761041,15938,1435
15948,15948,2-s2.0-84941028237,15948,1608
15949,15949,2-s2.0-84937604094,15949,2224
15953,15953,2-s2.0-85044181037,15953,1737
15955,15955,2-s2.0-85002759890,15955,1940
15965,15965,2-s2.0-84939989216,15965,1489
15997,15997,2-s2.0-84927794827,15997,1089
15999,15999,2-s2.0-84968658918,15999,1707
16022,16022,2-s2.0-84940001511,16022,1454
16033,16033,2-s2.0-84929908510,16033,1932
16043,16043,2-s2.0-84927701014,16043,1828
16056,16056,2-s2.0-84946029315,16056,2388
16059,16059,2-s2.0-84928471943,16059,395
16080,16080,2-s2.0-84938738774,16080,1480
16086,16086,2-s2.0-84947424985,16086,1319
16113,16113,2-s2.0-84926456975,16113,1449
16114,16114,2-s2.0-85071303369,16114,1609
16116,16116,2-s2.0-84966549061,16116,1351
16128,16128,2-s2.0-84939651801,16128,2054
16159,16159,2-s2.0-84924663016,16159,3359
16166,16166,2-s2.0-84920921278,16166,2734
16172,16172,2-s2.0-84957388210,16172,1196
16174,16174,2-s2.0-84958685888,16174,1857
16175,16175,2-s2.0-84904525670,16175,1812
16176,16176,2-s2.0-84934340175,16176,2791
16178,16178,2-s2.0-84929493756,16178,2252
16183,16183,2-s2.0-85043440069,16183,1113
16191,16191,2-s2.0-84928252374,16191,1353
16198,16198,2-s2.0-84955620249,16198,1336
16203,16203,2-s2.0-84924865766,16203,1972
16208,16208,2-s2.0-84929121166,16208,1354
16212,16212,2-s2.0-84924515928,16212,1689
16213,16213,2-s2.0-84961302161,16213,1141
16228,16228,2-s2.0-84939654361,16228,2101
16230,16230,2-s2.0-84939651693,16230,1309
16257,16257,2-s2.0-84924371209,16257,1295
16268,16268,2-s2.0-84922605212,16268,2052
16299,16299,2-s2.0-84921044692,16299,1264
16320,16320,2-s2.0-84938149457,16320,2850
16349,16349,2-s2.0-84930854877,16349,650
16356,16356,2-s2.0-84922106188,16356,1015
16359,16359,2-s2.0-84921699712,16359,3086
16360,16360,2-s2.0-84921628567,16360,1973
16362,16362,2-s2.0-84921278316,16362,3017
16365,16365,2-s2.0-84909957732,16365,1410
16374,16374,2-s2.0-84940557987,16374,1223
16418,16418,2-s2.0-85148814970,16418,1519
16436,16436,2-s2.0-85116519213,16436,1062
16451,16451,2-s2.0-85101659430,16451,1468
16454,16454,2-s2.0-85097892536,16454,2044
16460,16460,2-s2.0-85086555800,16460,1591
16468,16468,2-s2.0-85082416013,16468,1457
16469,16469,2-s2.0-85080908282,16469,2900
16475,16475,2-s2.0-85076104535,16475,817
16488,16488,2-s2.0-85064435984,16488,1246
16496,16496,2-s2.0-85059922588,16496,3678
16500,16500,2-s2.0-85054455534,16500,1952
16546,16546,2-s2.0-85026831010,16546,1239
16574,16574,2-s2.0-85017602865,16574,1036
16577,16577,2-s2.0-85017572830,16577,1242
16612,16612,2-s2.0-84991720753,16612,2980
16630,16630,2-s2.0-84983683561,16630,1044
16636,16636,2-s2.0-84982994845,16636,1455
16637,16637,2-s2.0-84982913028,16637,1115
16639,16639,2-s2.0-84982683656,16639,2525
16640,16640,2-s2.0-84981729477,16640,571
16658,16658,2-s2.0-84973442711,16658,2601
16660,16660,2-s2.0-84973334475,16660,1311
16664,16664,2-s2.0-84971280507,16664,2240
16673,16673,2-s2.0-84969189205,16673,1282
16693,16693,2-s2.0-84968784382,16693,2326
16698,16698,2-s2.0-84968732943,16698,2071
16703,16703,2-s2.0-84965421447,16703,1266
16721,16721,2-s2.0-84962718412,16721,1594
16732,16732,2-s2.0-84960353591,16732,1305
16750,16750,2-s2.0-84958692735,16750,2601
16756,16756,2-s2.0-84957683901,16756,689
16761,16761,2-s2.0-84957582588,16761,1461
16772,16772,2-s2.0-84956762237,16772,495
16782,16782,2-s2.0-84955578335,16782,1747
16786,16786,2-s2.0-84955167356,16786,3048
16790,16790,2-s2.0-84955147255,16790,2158
16805,16805,2-s2.0-84954028137,16805,1009
16807,16807,2-s2.0-84953881524,16807,2506
16812,16812,2-s2.0-84953853369,16812,1249
16826,16826,2-s2.0-84952325604,16826,1695
16857,16857,2-s2.0-84948776589,16857,1396
16862,16862,2-s2.0-84948754221,16862,2270
16869,16869,2-s2.0-84948176687,16869,1255
16870,16870,2-s2.0-84948176180,16870,1272
16873,16873,2-s2.0-84948150675,16873,1954
16874,16874,2-s2.0-84948136064,16874,1513
16877,16877,2-s2.0-84947926040,16877,1744
16878,16878,2-s2.0-84947914118,16878,1159
16885,16885,2-s2.0-84947555239,16885,1437
16900,16900,2-s2.0-84946915367,16900,1816
16901,16901,2-s2.0-84946903862,16901,2044
16902,16902,2-s2.0-84946900896,16902,1196
16908,16908,2-s2.0-84946409068,16908,1516
16917,16917,2-s2.0-84945162409,16917,1346
16926,16926,2-s2.0-84945131662,16926,1459
16927,16927,2-s2.0-84945130142,16927,1319
16971,16971,2-s2.0-84943752391,16971,1507
16980,16980,2-s2.0-84943427654,16980,2119
16983,16983,2-s2.0-84943399689,16983,2001
16989,16989,2-s2.0-84943270519,16989,1770
17000,17000,2-s2.0-84943163062,17000,1814
17018,17018,2-s2.0-84942863129,17018,2282
17023,17023,2-s2.0-84942693398,17023,1306
17024,17024,2-s2.0-84942437091,17024,2012
17026,17026,2-s2.0-84942077381,17026,1736
17028,17028,2-s2.0-84941998086,17028,2308
17035,17035,2-s2.0-84941997500,17035,2046
17038,17038,2-s2.0-84941996695,17038,3893
17064,17064,2-s2.0-84941993115,17064,2309
17087,17087,2-s2.0-84940542770,17087,1251
17134,17134,2-s2.0-84931839690,17134,1603
17135,17135,2-s2.0-84931828999,17135,1414
17157,17157,2-s2.0-84930351493,17157,1672
17162,17162,2-s2.0-84930333412,17162,1256
17171,17171,2-s2.0-84930012537,17171,1397
17207,17207,2-s2.0-84928227188,17207,1472
17225,17225,2-s2.0-84926353897,17225,1582
17248,17248,2-s2.0-84924601267,17248,2040
17250,17250,2-s2.0-84924421991,17250,1650
17262,17262,2-s2.0-84923277793,17262,1235
17265,17265,2-s2.0-84923125665,17265,1453
17268,17268,2-s2.0-84923033238,17268,1427
17293,17293,2-s2.0-84921932931,17293,1103
17299,17299,2-s2.0-84921715334,17299,2027
17305,17305,2-s2.0-84920982397,17305,2092
17344,17344,2-s2.0-105012543375,17344,1458
17350,17350,2-s2.0-105012509949,17350,1184
17378,17378,2-s2.0-105011884986,17378,1164
17390,17390,2-s2.0-85099565022,17390,1680
17400,17400,2-s2.0-85110452962,17400,894
17404,17404,2-s2.0-85098588636,17404,1635
17406,17406,2-s2.0-85075570418,17406,2041
17416,17416,2-s2.0-85098166862,17416,2564
17418,17418,2-s2.0-85098055277,17418,2872
17420,17420,2-s2.0-85102977653,17420,1809
17434,17434,2-s2.0-85096461509,17434,3234
17438,17438,2-s2.0-85098501010,17438,1304
17445,17445,2-s2.0-85097595345,17445,1998
17446,17446,2-s2.0-85218162427,17446,2028
17449,17449,2-s2.0-85169125831,17449,1072
17467,17467,2-s2.0-85106800565,17467,1253
17470,17470,2-s2.0-85106781661,17470,1232
17485,17485,2-s2.0-85101447262,17485,1355
17518,17518,2-s2.0-85097925586,17518,1570
17574,17574,2-s2.0-85091057830,17574,2346
17585,17585,2-s2.0-85089748522,17585,2522
17589,17589,2-s2.0-85089448199,17589,2094
17592,17592,2-s2.0-85089080099,17592,3079
17593,17593,2-s2.0-85089011228,17593,1644
17600,17600,2-s2.0-85087489979,17600,1223
17603,17603,2-s2.0-85087058907,17603,2722
17617,17617,2-s2.0-85082952193,17617,2105
17637,17637,2-s2.0-85076113958,17637,1583
17654,17654,2-s2.0-85160921132,17654,1294
17656,17656,2-s2.0-85099477840,17656,1417
17657,17657,2-s2.0-85099463763,17657,1186
17660,17660,2-s2.0-85095822147,17660,1391
17665,17665,2-s2.0-85132143068,17665,962
17667,17667,2-s2.0-85099577203,17667,1775
17674,17674,2-s2.0-85099539766,17674,1737
17680,17680,2-s2.0-85099434625,17680,1878
17682,17682,2-s2.0-85097186083,17682,1936
17688,17688,2-s2.0-85123041285,17688,1460
17712,17712,2-s2.0-85148550190,17712,1437
17718,17718,2-s2.0-85100300455,17718,2792
17720,17720,2-s2.0-85089867738,17720,2279
17729,17729,2-s2.0-85101906759,17729,2400
17737,17737,2-s2.0-85100735567,17737,2317
17739,17739,2-s2.0-85100717597,17739,1180
17754,17754,2-s2.0-85096207102,17754,2729
17815,17815,2-s2.0-85086365616,17815,1490
17816,17816,2-s2.0-85086345320,17816,1159
17841,17841,2-s2.0-85101212929,17841,1331
17851,17851,2-s2.0-85096438872,17851,1172
17853,17853,2-s2.0-85096425848,17853,1759
17862,17862,2-s2.0-85096418744,17862,1354
17873,17873,2-s2.0-85096411157,17873,1358
17877,17877,2-s2.0-85096409794,17877,1569
17885,17885,2-s2.0-85094982022,17885,1628
17887,17887,2-s2.0-85098002165,17887,1772
17893,17893,2-s2.0-85123041321,17893,1859
17896,17896,2-s2.0-85095606992,17896,1591
17897,17897,2-s2.0-85095456709,17897,1918
17906,17906,2-s2.0-85098600501,17906,2393
17912,17912,2-s2.0-85098582049,17912,2238
17926,17926,2-s2.0-85098544168,17926,2187
17929,17929,2-s2.0-85098535357,17929,2028
17936,17936,2-s2.0-85075367869,17936,1510
17937,17937,2-s2.0-85099035485,17937,1598
17942,17942,2-s2.0-85107294109,17942,1516
17945,17945,2-s2.0-85092343333,17945,1863
17957,17957,2-s2.0-85132591342,17957,2035
17963,17963,2-s2.0-85085765912,17963,1643
17970,17970,2-s2.0-85139944369,17970,1285
17977,17977,2-s2.0-85099973172,17977,2371
17982,17982,2-s2.0-85096523169,17982,1488
17992,17992,2-s2.0-85093650684,17992,1911
17999,17999,2-s2.0-85092719459,17999,1948
18000,18000,2-s2.0-85092585942,18000,2170
18001,18001,2-s2.0-85092574716,18001,2051
18007,18007,2-s2.0-85092207426,18007,1767
18009,18009,2-s2.0-85091742475,18009,1233
18023,18023,2-s2.0-85087517814,18023,1252
18026,18026,2-s2.0-85086118732,18026,1193
18038,18038,2-s2.0-85078498469,18038,2318
18056,18056,2-s2.0-85066888988,18056,1466
18097,18097,2-s2.0-85092792453,18097,1352
18104,18104,2-s2.0-85092780574,18104,1601
18109,18109,2-s2.0-85092772829,18109,1103
18114,18114,2-s2.0-85096565009,18114,1706
18117,18117,2-s2.0-85096458881,18117,1254
18123,18123,2-s2.0-85119094120,18123,1525
18130,18130,2-s2.0-85079364594,18130,1462
18134,18134,2-s2.0-85091418889,18134,2584
18152,18152,2-s2.0-85107179558,18152,2284
18164,18164,2-s2.0-85164207457,18164,1629
18177,18177,2-s2.0-85097143004,18177,1130
18179,18179,2-s2.0-85097022684,18179,1286
18188,18188,2-s2.0-85093116160,18188,1906
18189,18189,2-s2.0-85093098752,18189,1733
18191,18191,2-s2.0-85092800094,18191,2353
18195,18195,2-s2.0-85092228668,18195,2057
18200,18200,2-s2.0-85091914402,18200,1934
18218,18218,2-s2.0-85090763501,18218,1268
18221,18221,2-s2.0-85090563589,18221,3344
18226,18226,2-s2.0-85090417278,18226,2009
18233,18233,2-s2.0-85089776315,18233,1464
18238,18238,2-s2.0-85089451769,18238,886
18255,18255,2-s2.0-85086659020,18255,3328
18270,18270,2-s2.0-85080870549,18270,1363
18273,18273,2-s2.0-85078861894,18273,1788
18275,18275,2-s2.0-85078679454,18275,1517
18278,18278,2-s2.0-85077145863,18278,1498
18291,18291,2-s2.0-85063143788,18291,1525
18292,18292,2-s2.0-85061199106,18292,1389
18313,18313,2-s2.0-85091977229,18313,2474
18318,18318,2-s2.0-85066631854,18318,1295
18321,18321,2-s2.0-85067869469,18321,1620
18344,18344,2-s2.0-85095752250,18344,1636
18354,18354,2-s2.0-85092614602,18354,1087
18363,18363,2-s2.0-85092018755,18363,1565
18374,18374,2-s2.0-85090137882,18374,1252
18392,18392,2-s2.0-85089262623,18392,1470
18418,18418,2-s2.0-85084765592,18418,1600
18431,18431,2-s2.0-85079145522,18431,1581
18432,18432,2-s2.0-85078606531,18432,1339
18446,18446,2-s2.0-85048792842,18446,1862
18460,18460,2-s2.0-85091756220,18460,2649
18466,18466,2-s2.0-85089072473,18466,1849
18472,18472,2-s2.0-85089103111,18472,1592
18477,18477,2-s2.0-85089087738,18477,1720
18485,18485,2-s2.0-85089065181,18485,1468
18486,18486,2-s2.0-85167729919,18486,2977
18487,18487,2-s2.0-85090197234,18487,1574
18510,18510,2-s2.0-85087920587,18510,1493
18511,18511,2-s2.0-85087916676,18511,1670
18516,18516,2-s2.0-85087899823,18516,1538
18523,18523,2-s2.0-85087880435,18523,1358
18527,18527,2-s2.0-85087876405,18527,1616
18538,18538,2-s2.0-85078594731,18538,1389
18554,18554,2-s2.0-85087810911,18554,2101
18568,18568,2-s2.0-85162152366,18568,2222
18599,18599,2-s2.0-85089571314,18599,1226
18612,18612,2-s2.0-85087833330,18612,2304
18617,18617,2-s2.0-85087627486,18617,1998
18671,18671,2-s2.0-85150434877,18671,1166
18675,18675,2-s2.0-85103500828,18675,994
18676,18676,2-s2.0-85099270982,18676,1410
18683,18683,2-s2.0-85095798095,18683,1929
18693,18693,2-s2.0-85095790935,18693,2936
18695,18695,2-s2.0-85095790543,18695,1883
18702,18702,2-s2.0-85095788498,18702,1048
18711,18711,2-s2.0-85095785830,18711,1715
18717,18717,2-s2.0-85095781437,18717,3783
18728,18728,2-s2.0-85095777439,18728,1857
18730,18730,2-s2.0-85095774140,18730,3209
18734,18734,2-s2.0-85095771126,18734,2340
18740,18740,2-s2.0-85095765479,18740,2082
18770,18770,2-s2.0-85095748311,18770,2864
18793,18793,2-s2.0-85095735246,18793,2533
18811,18811,2-s2.0-85095727179,18811,2585
18856,18856,2-s2.0-85086460119,18856,627
18858,18858,2-s2.0-85086450720,18858,1726
18893,18893,2-s2.0-85105483377,18893,1257
18897,18897,2-s2.0-85105450868,18897,1358
18926,18926,2-s2.0-85089022838,18926,2530
18930,18930,2-s2.0-85088927251,18930,1266
18931,18931,2-s2.0-85088188090,18931,1954
18937,18937,2-s2.0-85087748167,18937,1817
18943,18943,2-s2.0-85087097800,18943,1669
18956,18956,2-s2.0-85085936255,18956,1724
18972,18972,2-s2.0-85084917131,18972,584
18995,18995,2-s2.0-85084059217,18995,1714
18999,18999,2-s2.0-85083388660,18999,1636
19006,19006,2-s2.0-85082551457,19006,2395
19020,19020,2-s2.0-85078211787,19020,1295
19026,19026,2-s2.0-85076035648,19026,1891
19044,19044,2-s2.0-85059779703,19044,2079
19052,19052,2-s2.0-85086475038,19052,1114
19057,19057,2-s2.0-85086471289,19057,1222
19083,19083,2-s2.0-85086438406,19083,2085
19093,19093,2-s2.0-85086431883,19093,1590
19094,19094,2-s2.0-85086426343,19094,1203
19099,19099,2-s2.0-85086158394,19099,1580
19105,19105,2-s2.0-85043454399,19105,1707
19108,19108,2-s2.0-85085531157,19108,2005
19125,19125,2-s2.0-85085503716,19125,1763
19145,19145,2-s2.0-85085482245,19145,1479
19147,19147,2-s2.0-85085477160,19147,1634
19148,19148,2-s2.0-85085476371,19148,1697
19152,19152,2-s2.0-85085471947,19152,1244
19162,19162,2-s2.0-85083661363,19162,1552
19165,19165,2-s2.0-85073958378,19165,2068
19170,19170,2-s2.0-85089423548,19170,1830
19173,19173,2-s2.0-85145850284,19173,961
19187,19187,2-s2.0-85084735858,19187,1208
19189,19189,2-s2.0-85084731917,19189,1799
19195,19195,2-s2.0-85084570709,19195,2186
19198,19198,2-s2.0-85084524878,19198,2023
19199,19199,2-s2.0-85089587930,19199,1229
19210,19210,2-s2.0-85091237185,19210,1497
19221,19221,2-s2.0-85085965397,19221,1947
19234,19234,2-s2.0-85084502797,19234,1449
19241,19241,2-s2.0-85084404780,19241,2318
19251,19251,2-s2.0-85083962690,19251,1701
19258,19258,2-s2.0-85083225885,19258,1500
19268,19268,2-s2.0-85079782066,19268,2417
19278,19278,2-s2.0-85076208513,19278,1836
19279,19279,2-s2.0-85075332671,19279,1448
19287,19287,2-s2.0-85064648439,19287,2315
19304,19304,2-s2.0-85084956585,19304,1748
