n_documents,metric,n_runs,n_valid,mean,sd,min,max,cv
10000,lcc_fraction_nodes,10,10,0.5755833854707861,0.004722558632501326,0.5675660061239818,0.5848781625276903,0.008204820972444522
10000,modularity,10,10,0.3257687407240339,0.014449625052127421,0.30020224326978245,0.35201478323229884,0.044355468299421726
10000,n_communities,10,10,3.6,0.5163977794943223,3.0,4.0,0.14344382763731175
10000,mean_degree,10,10,2.9214045850931916,0.030279994504411305,2.8689121266393207,2.972058476774346,0.010364875395526699
10000,mean_weighted_degree,10,10,4.03026125609981,0.04906438039546339,3.954466458116093,4.126738976656449,0.012173995003724469
10000,clustering_coefficient,10,10,0.21553945526361806,0.003630134495574931,0.2091129595763554,0.2213550531908207,0.016842088104635194
10000,backbone_nodes,10,10,74.2,2.2010098692292237,70.0,77.0,0.029663205784760425
10000,backbone_edges,10,10,86.2,1.9321835661585915,82.0,89.0,0.02241512257724584
10000,backbone_components,10,10,1.0,0.0,1.0,1.0,0.0
10000,backbone_density,10,10,0.03178319701670686,0.00129089482869105,0.029733424470266577,0.03395445134575569,0.040615638131446946
10000,backbone_lcc_nodes,10,10,74.2,2.2010098692292237,70.0,77.0,0.029663205784760425
10000,backbone_lcc_edges,10,10,86.2,1.9321835661585915,82.0,89.0,0.02241512257724584
10000,backbone_lcc_fraction_nodes,10,10,1.0,0.0,1.0,1.0,0.0
10000,backbone_mean_degree,10,10,2.324029518586836,0.030628165395630937,2.25974025974026,2.361111111111111,0.013178905496112154
10000,backbone_mean_weighted_degree,10,10,98.86090464521394,2.992899632299,93.92207792207792,103.6986301369863,0.03027384427686291
10000,backbone_empty,10,10,0.0,0.0,0.0,0.0,
10000,vocabulary_size,10,10,17179.2,101.54342256722818,16964.0,17309.0,0.005910835345489206
10000,runtime_total_seconds,10,10,26.386508595602937,0.7339324441939385,25.465210958005628,27.619069041014882,0.027814685733611663
10000,runtime_embedding_seconds,10,10,23.954597420705248,0.7294148110177102,23.05171299999347,25.17685641598655,0.030449888103201338
10000,runtime_graph_construction_seconds,10,10,1.701393720699707,0.007908161718849008,1.690405750006903,1.7108523329952732,0.00464804919792271
10000,runtime_metrics_seconds,10,10,0.7186904830945423,0.01197877120848741,0.7036681669997051,0.7411251659796108,0.016667496634864477
10000,peak_memory_rss_mib,10,10,667.8515625,15.295239439147988,628.0625,681.21875,0.022902154158167425
