nodes_full_graph,edges_full_graph,density_full_graph,n_components_full_graph,lcc_nodes,lcc_edges,lcc_fraction_nodes,modularity,n_communities,mean_degree,mean_weighted_degree,clustering_coefficient,backbone_nodes,backbone_edges,backbone_components,backbone_density,backbone_lcc_nodes,backbone_lcc_edges,backbone_lcc_fraction_nodes,backbone_mean_degree,backbone_mean_weighted_degree,backbone_empty,n_documents,replicate,seed,tau,backbone_threshold,louvain_seed,vocabulary_size,runtime_total_seconds,runtime_embedding_seconds,runtime_graph_construction_seconds,runtime_metrics_seconds,peak_memory_rss_mib,baseline_memory_rss_mib,peak_memory_increase_mib,sample_file,sample_sha256
16964,25209,0.0001752083049445467,6023,9850,23973,0.5806413581702429,0.32178023170793413,4,2.972058476774346,4.126738976656449,0.21818565983765967,73,85,1,0.032343987823439876,73,85,1.0,2.328767123287671,103.6986301369863,False,10000,7,48,0.4,20,42,16964,26.298453208000865,23.879957791010384,1.6936005000025034,0.7129268329881597,664.84375,613.59375,51.25,samples/n10000_r7_s48.csv,eef3b70211fe66800edc42151e67d5a900698790e6fede4d51dfb5518b6f4ba7
17262,24951,0.00016747920359158215,6242,9917,23703,0.5744988993164175,0.33458133862042777,4,2.8908585331942995,3.954466458116093,0.21577497999327677,74,87,1,0.03221029248426509,74,87,1.0,2.3513513513513513,95.10810810810811,False,10000,8,49,0.4,20,42,17262,27.047347290994367,24.623449292004807,1.6935391250008252,0.7185187079885509,675.15625,664.90625,10.25,samples/n10000_r8_s49.csv,c340b4c61162204cba2b0838c2746862b375d56be471d23e2021e0243d524649
17119,25172,0.00017179728839970205,6111,9879,23911,0.5770781003563292,0.306916610227282,3,2.9408259828261,4.071382674221625,0.2213550531908207,74,86,1,0.03184005923731951,74,86,1.0,2.324324324324324,100.21621621621621,False,10000,9,50,0.4,20,42,17119,27.271408667002106,24.830896125000436,1.7108523329952732,0.717801791994134,628.0625,618.96875,9.09375,samples/n10000_r9_s50.csv,c2e3622d6164d31944503b9457ed78d8d99161756b3cd2ec7f59c8a1c95a7d35
17225,25087,0.0001691163037770229,6193,9887,23796,0.5739912917271408,0.33277921469575406,3,2.9128592162554425,4.016952104499274,0.2120033383921025,75,87,1,0.03135135135135135,75,87,1.0,2.32,98.90666666666667,False,10000,10,51,0.4,20,42,17225,26.54932504100725,24.12373720802134,1.7053058329911437,0.7084660420077853,672.328125,632.75,39.578125,samples/n10000_r10_s51.csv,c394ccb8a13b863b0b2becbeb4bab0904e845e05d1307533463e70195d93d2c9
33209,56311,0.00010212327104165025,11758,19813,54523,0.5966153753500557,0.33458904572461823,5,3.391309584751122,5.201963323195519,0.2077837054260947,172,246,1,0.016727866177070585,172,246,1.0,2.86046511627907,160.27906976744185,False,25000,1,42,0.4,20,42,33209,52.24545204199967,45.35697875000187,4.348513375007315,2.513839082996128,661.578125,656.28125,5.296875,samples/n25000_r1_s42.csv,6a4035847e1971578596962a25c3688badba31b81970498d1a97e041fd9c8594
33368,56558,0.00010159602143958792,11857,19738,54593,0.591524814193239,0.35047698296428736,5,3.38995444737473,5.184548070007192,0.20785700108528965,180,243,1,0.015083798882681564,180,243,1.0,2.7,150.92222222222222,False,25000,2,43,0.4,20,42,33368,53.52857654201216,46.71140524998191,4.262120250001317,2.528747166012181,675.015625,664.15625,10.859375,samples/n25000_r2_s43.csv,861923555c793565db27232e90f1b61dfbadee6c538264d0f046da4b2b3ae18a
33296,56566,0.00010205032279192191,11711,19890,54669,0.5973690533397406,0.3368562780360074,4,3.3977654973570397,5.194317635752042,0.2121056414931312,168,236,1,0.016823495865412035,168,236,1.0,2.8095238095238093,162.3452380952381,False,25000,3,44,0.4,20,42,33296,53.1385828750208,46.23321912501706,4.361017207993427,2.5180925829918124,771.484375,725.421875,46.0625,samples/n25000_r3_s44.csv,876772d46e08b56be13fe96b900cfc11b1da9e7684641a3b78d1868acec7f6a1
33494,57040,0.00010169238829496293,11824,19903,55055,0.5942258314922075,0.34167665563727007,5,3.4059831611631934,5.183256702693019,0.21444591606215743,175,240,1,0.015763546798029555,175,240,1.0,2.742857142857143,153.2,False,25000,4,45,0.4,20,42,33494,53.152987542009214,46.28758991599898,4.328838292014552,2.510814208013471,725.4375,683.546875,41.890625,samples/n25000_r4_s45.csv,6e5340a0bbbd90b16e524ff22552ccc3d55175cda91e6bfba43e88cd682677a7
33276,56807,0.00010260834209596328,11799,19847,55023,0.5964358696958769,0.34546893588804056,5,3.4142925832431783,5.22286332491886,0.2133997550042321,172,238,1,0.016183870529035766,172,238,1.0,2.7674418604651163,157.08139534883722,False,25000,5,46,0.4,20,42,33276,60.33076479198644,53.32958975000656,4.353025000018533,2.621184332994744,681.515625,680.265625,1.25,samples/n25000_r5_s46.csv,f474f9b5aeb19ad5d43be5fc016490f1669c0c013232a8727f2ca74b3817d18c
33174,56673,0.00010299677095227393,11725,19713,54761,0.5942304214143607,0.34065834113550414,4,3.416711882799783,5.242599626213299,0.2117698543090197,171,244,1,0.016787065703474373,171,244,1.0,2.853801169590643,160.85380116959064,False,25000,6,47,0.4,20,42,33174,55.59539050000603,48.62969791700016,4.398140333010815,2.5402605830167886,663.09375,647.40625,15.6875,samples/n25000_r6_s47.csv,6151098ee6af8d7fa9e64d809db4c92a14f12f0faec38f48991d8f4952564988
33444,56790,0.00010154964762272276,11807,19983,54957,0.5975062791532113,0.33314468361741467,6,3.396124865446717,5.184786508790815,0.20793941907474672,177,246,1,0.015793528505392913,177,246,1.0,2.7796610169491527,153.9774011299435,False,25000,7,48,0.4,20,42,33444,52.833524041983765,45.44192845799262,4.708182834001491,2.657351166009903,717.0,710.703125,6.296875,samples/n25000_r7_s48.csv,f95d785823ffbce98a5603ce5b7c54e4b328ca103670783762541ccc2d6d6bda
33337,56471,0.00010162848969262769,11762,19857,54564,0.5956444791072982,0.32880621470566085,5,3.387887332393437,5.1832498425173235,0.2120502010612285,181,246,1,0.015101289134438306,181,246,1.0,2.718232044198895,150.5635359116022,False,25000,8,49,0.4,20,42,33337,54.153566666995175,47.208302000013646,4.383382333995542,2.5341207919991575,640.515625,636.28125,4.234375,samples/n25000_r8_s49.csv,43da3b22e8209ca11a4116e1edd6b1b15df93c1653c9c22ee4c66a029c0f7ebf
33268,56962,0.00010293780282254292,11761,19834,55118,0.596188529517855,0.33793061592370716,4,3.424431886497535,5.224239509438499,0.2119375684621913,169,236,1,0.016624401239785855,169,236,1.0,2.7928994082840237,161.14792899408283,False,25000,9,50,0.4,20,42,33268,51.86613466599374,44.809816207998665,4.412644167023245,2.617757291998714,757.4375,739.671875,17.765625,samples/n25000_r9_s50.csv,b3f82acdccba2d581ab7238c21d5c441e9a6a73b09d388c289e7e3db9f6ba60f
33531,56757,0.00010096465567298061,11938,19798,54748,0.5904386985177895,0.34192806994823005,5,3.3853449047150397,5.165727237481733,0.2112586715984459,172,242,1,0.016455868353053175,172,242,1.0,2.813953488372093,156.95348837209303,False,25000,10,51,0.4,20,42,33531,51.5179135829967,44.545778833009535,4.413308541988954,2.5320754580025095,763.359375,664.859375,98.5,samples/n25000_r10_s51.csv,3248de4198271035aea45044a255b0a3f5cabcf80540769c2d7994cfc9c5d8c5
