keyword,community,degree,weighted_degree
realistic mathematics,2,1,21
thematic analysis,2,1,21
social media,2,1,21
instructional strategies,2,1,21
technical universities,2,1,21
intellectual disability,2,1,21
student perception,2,1,21
educational innovation,2,1,21
project management,3,1,21
self-assessment,2,1,21
cognitive process,2,1,21
educational process,2,1,21
function concept,2,1,21
mathematics attitudes,2,1,21
computing,1,1,21
numerical cognition,2,1,21
gender difference,2,1,21
mathematics reform,2,1,21
outreach programs,3,1,21
teacher efficacy,2,1,21
participation,2,1,21
space exploration,3,1,21
curriculum standards,2,1,21
pedagogical strategies,2,1,21
teaching approaches,2,1,20
abstract algebra,2,1,20
embodied learning,2,1,20
primary students,2,1,20
industry 4.0,3,1,20
common core state standards,2,1,20
teacher perspectives,2,1,20
student assessment,2,1,20
design,1,1,20
individual differences,2,1,20
mathematical beliefs,2,1,20
classroom environment,2,1,20
mathematical argumentation,2,1,20
self-determination theory,2,1,20
underrepresented groups,3,1,20
adolescents,4,1,20
mathematical identity,2,1,20
students with disabilities,2,1,20
urban schools,2,1,20
numerical methods,2,1,20
health literacy,1,1,20
middle school teachers,2,1,20
geometry teaching,2,1,20
educational data mining,4,1,20
affect,2,1,20
epistemological beliefs,2,1,20
pedagogical approach,2,1,20
mathematical sciences,2,1,20
intellectual disabilities,2,1,20
positioning theory,2,1,20
math education,1,1,20
game design,2,1,20
space education,3,1,20
classroom assessment,2,1,20
gender bias,3,1,20
training,1,1,20
mobile technology,2,1,20
computer algebra,2,1,20
instructional practice,2,1,20
learning theory,2,1,20
anxiety,2,1,20
robot programming,3,1,20
