keyword,community,degree,weighted_degree
mechanical engineering,2,4,144
learning objectives,2,5,144
computer algebra systems,2,4,143
geogebra,2,5,143
research experience,2,4,143
pedagogical content knowledge,2,5,143
depression,0,6,143
pre,1,3,143
engineering and computer science,2,4,142
adolescents,0,6,142
s,0,4,142
intelligent robots,2,5,142
pre-service teachers,2,4,142
models,2,5,141
service,1,3,141
professional,0,4,141
problem,10,4,140
mental function,0,6,139
judgment,0,6,139
mental arithmetic,0,6,139
data structures,7,5,138
body mass index,0,6,137
proceedings,8,2,137
arts computing,2,4,137
neuroscience,0,4,136
civil engineering,2,4,136
computer technology,2,4,135
lesson plans,2,4,135
public health,0,4,135
predictive value,0,6,135
mlcs,0,6,135
learning style,2,5,135
retention,2,4,135
mlown,0,6,135
theory,0,3,134
game theory,2,4,134
instruction,0,4,134
personality,0,6,134
automation,2,4,133
health behavior,0,6,133
"education, medical",0,5,133
elementary students,2,4,133
stem activities,2,4,132
juvenile,0,6,132
testing,2,3,131
information dissemination,2,4,131
risk,0,6,131
data reduction,2,4,130
"history, 21st century",0,5,130
elementary,0,4,130
secondary,0,3,130
engineering applications,2,4,130
prevention and control,0,5,130
cluster analysis,0,5,130
student populations,2,4,129
robot learning,2,5,129
pre-college,2,4,129
remote laboratories,2,5,128
gender differences,0,4,128
modeling,2,5,127
large language models,2,4,127
pedagogics,0,4,127
ecology,2,4,126
fuzzy mathematics,0,4,126
teacher knowledge,2,4,125
investments,2,4,125
stem program,2,3,125
on-line education,2,4,125
goals,0,5,124
primary,0,4,124
computer hardware,2,4,123
science course,2,4,123
african americans,0,5,122
human resource management,2,4,122
digital storage,2,4,121
study,0,4,121
post test,2,4,121
learning tool,2,4,121
adaptive learning,2,5,121
socioeconomic status,0,5,121
mechanics,2,4,121
health,0,5,120
technology integration,2,4,120
systems analysis,2,4,120
teaching process,2,4,120
engineering educators,2,4,120
video game,0,5,119
learning community,2,4,119
manpower,0,4,119
university levels,2,4,118
videorecording,0,5,117
"education, distance",0,4,116
video recording,2,4,116
ministry of education,2,4,116
interactive computer systems,2,4,116
natural languages,2,4,116
pipelines,2,4,116
language test,0,5,116
efficiency,2,4,116
engineering faculty,2,3,115
student experiences,2,3,115
image processing,2,4,115
language disability,0,5,114
grading,2,3,114
primary and secondary schools,2,4,113
fitness,0,5,113
iterative methods,2,4,113
patient education,0,4,113
data analysis techniques,2,3,112
developmental disabilities,0,5,112
cost effectiveness,2,4,112
learning strategy,2,3,112
college,0,4,111
object oriented programming,2,5,111
design and development,2,4,111
technical educations,2,4,110
secondary school,2,4,110
performance assessment,0,4,110
teaching approaches,2,3,109
science curriculum,2,4,109
statistical methods,2,4,108
strategic planning,2,4,108
"infant, premature",0,5,108
disability,0,4,108
biographies,2,4,108
neuroimaging,0,4,107
interactive learning environments,2,4,107
research studies,2,3,106
malaysia,2,4,106
workforce development,2,4,106
faculty members,2,3,106
mathematics instruction,2,3,105
computer science students,2,3,105
student retention,2,2,105
educational research,2,4,105
embedded systems,2,3,105
early childhood,0,3,105
engineering profession,2,3,105
online teaching,2,4,104
time factor,0,5,104
teaching strategy,2,3,104
retrospective analysis,2,3,104
national academy of engineering,2,4,104
affect,0,4,104
laboratory,0,4,103
pisa,0,3,103
cooperative learning,2,3,103
quality of life,0,4,103
deafness,0,4,102
k-12 stem education,2,4,101
student attitudes,2,3,101
occupation,0,4,100
distance-learning,2,4,100
online course,2,4,100
socio-economic status,2,4,100
attitudes,0,4,100
design-based research,2,4,100
engineering graduates,2,3,100
young peoples,2,4,100
research results,2,3,100
postsecondary education,2,3,100
italy,0,4,100
tools,2,4,99
predictive analytics,7,4,99
theoretical study,0,4,98
engineering technology,2,3,98
teaching-learning process,2,3,98
photonics,2,3,98
sampling technique,2,3,97
sense of belonging,2,3,96
mobile devices,2,4,96
informal learning,2,4,96
validity,0,3,95
instructional practices,2,4,95
environmental factor,0,4,94
teaching methodologies,2,3,94
professional development program,2,4,94
south africa,0,3,94
database systems,2,4,94
solving,10,2,94
visual perception,0,4,94
medical literature,0,4,94
undergraduate curricula,2,3,94
computational linguistics,2,4,93
through,0,3,93
"education, medical, undergraduate",0,4,93
interactive learning environment,2,3,93
engineering schools,2,3,93
summer bridge program,2,3,93
inclusive education,2,4,93
critical,0,2,92
social interaction,0,4,92
self-regulated learning,2,3,92
brazil,0,4,92
job analysis,2,4,91
symbolism,0,4,91
understanding,0,3,90
public policy,2,3,90
women in science,2,3,90
clustering algorithms,7,3,89
introduction,0,3,89
taxonomies,2,3,89
costs,2,3,89
computer science and engineerings,2,3,89
spatial abilities,2,3,88
teaching experience,2,3,88
introductory course,2,3,88
chatgpt,2,3,87
conceptual knowledge,11,3,87
teaching/learning strategies,2,3,87
europe,0,3,87
innovative approaches,2,3,86
scientific literature,0,3,85
learning and teachings,2,3,85
preface,8,3,85
technology learning,2,4,85
course contents,2,3,85
experiments,2,3,84
general education,2,3,84
finance,2,2,84
preservice,0,2,84
graduation rates,2,2,83
budget control,2,3,83
industrial revolutions,2,3,83
digital libraries,2,3,83
low incomes,2,3,83
real-world problem,2,2,83
mathematical reasoning,2,2,83
student participation,2,3,83
spatial visualization,2,3,82
dynamics,2,3,82
instructional strategy,2,3,82
commerce,2,3,81
design research,2,2,81
space education,2,3,81
analysis,0,3,81
summer camp,2,3,81
social justice,2,3,80
case,0,3,80
secondary mathematics,2,3,80
higher order thinking skills,2,2,79
computer circuits,2,3,79
