method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
llama_3.1_8b,167,1153,38,5,0.023809523809523808,0.15789473684210525,0.8,0.26373626373626374,0.6706987023353577,0.6641454100608826
llama_3.1_8b,168,1154,18,5,0.0,0.3333333333333333,0.6,0.42857142857142855,0.6806591749191284,0.6492891907691956
llama_3.1_8b,169,1155,28,5,0.0,0.17857142857142858,0.6,0.2752293577981651,0.5707991123199463,0.569137692451477
llama_3.1_8b,170,1156,17,5,0.1,0.6470588235294118,1.0,0.7857142857142858,0.8405464887619019,0.8452260494232178
llama_3.1_8b,171,1157,27,5,0.06666666666666667,0.2962962962962963,0.8,0.43243243243243246,0.7020525932312012,0.7421898245811462
llama_3.1_8b,172,1158,7,5,0.0,0.2857142857142857,0.4,0.3333333333333333,0.6149863600730896,0.7344192266464233
llama_3.1_8b,173,1159,8,5,0.3,0.625,1.0,0.7692307692307693,0.835174560546875,0.894141674041748
llama_3.1_8b,174,116,25,5,0.2,0.24,1.0,0.3870967741935484,0.7663686275482178,0.8301089406013489
llama_3.1_8b,175,1160,7,5,0.0,0.7142857142857143,1.0,0.8333333333333333,0.8350262641906738,0.9040722846984863
llama_3.1_8b,176,1161,8,5,0.18181818181818182,0.5,0.6,0.5454545454545454,0.737150251865387,0.9045190811157227
llama_3.1_8b,177,1162,5,5,0.1111111111111111,0.6,0.8,0.6857142857142857,0.7579836845397949,0.8979237079620361
llama_3.1_8b,178,1163,6,5,0.375,1.0,0.8,0.888888888888889,0.9205268621444702,0.913794755935669
llama_3.1_8b,179,1164,6,5,0.1,0.3333333333333333,0.4,0.3636363636363636,0.6795857548713684,0.8006104826927185
llama_3.1_8b,180,1165,5,5,0.25,0.8,0.8,0.8000000000000002,0.8269422054290771,0.9009233117103577
llama_3.1_8b,181,1166,5,4,0.2857142857142857,0.6,0.75,0.6666666666666665,0.7740992903709412,0.8436731100082397
llama_3.1_8b,182,1167,11,5,0.3333333333333333,0.6363636363636364,1.0,0.7777777777777778,0.8444360494613647,0.7966146469116211
llama_3.1_8b,183,1168,13,5,0.0,0.38461538461538464,0.6,0.46875,0.7230231761932373,0.8468571305274963
llama_3.1_8b,184,1169,9,5,0.0,0.3333333333333333,0.6,0.42857142857142855,0.6342971324920654,0.7161176204681396
llama_3.1_8b,185,117,13,5,0.125,0.46153846153846156,0.8,0.5853658536585367,0.7440038323402405,0.8225266933441162
llama_3.1_8b,186,1170,15,5,0.25,0.4,0.8,0.5333333333333333,0.794257640838623,0.7518812417984009
llama_3.1_8b,187,1171,23,5,0.07692307692307693,0.21739130434782608,0.8,0.34188034188034183,0.7297660708427429,0.8739992380142212
llama_3.1_8b,188,1172,18,5,0.15,0.5555555555555556,1.0,0.7142857142857143,0.8229147791862488,0.7303164601325989
llama_3.1_8b,189,1173,15,5,0.1111111111111111,0.4,1.0,0.5714285714285715,0.7900022268295288,0.717308759689331
llama_3.1_8b,190,1174,15,5,0.05263157894736842,0.4,0.8,0.5333333333333333,0.7119593620300293,0.6669508218765259
