method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
tfidf,106,1099,16,5,0.05,0.25,0.8,0.38095238095238093,0.7128324508666992,0.7327232360839844
tfidf,107,11,16,5,0.05,0.25,0.6,0.35294117647058826,0.6783741116523743,0.7101480960845947
tfidf,108,110,11,5,0.0,0.2727272727272727,1.0,0.42857142857142855,0.6754501461982727,0.7555280327796936
tfidf,109,1100,8,5,0.08333333333333333,0.5,0.6,0.5454545454545454,0.6829046010971069,0.7881523370742798
tfidf,110,1101,21,5,0.0,0.23809523809523808,0.8,0.36697247706422015,0.682913064956665,0.7468023896217346
tfidf,111,1102,35,5,0.0,0.14285714285714285,0.8,0.24242424242424243,0.619361937046051,0.471915602684021
tfidf,112,1103,27,5,0.03225806451612903,0.07407407407407407,0.8,0.13559322033898305,0.7025504112243652,0.662897527217865
tfidf,113,1104,15,5,0.0,0.2,0.6,0.3,0.6203407049179077,0.6063397526741028
tfidf,114,1105,15,5,0.1111111111111111,0.13333333333333333,0.6,0.2181818181818182,0.6542738676071167,0.6004030108451843
tfidf,115,1106,10,5,0.0,0.1,0.4,0.16000000000000003,0.5261317491531372,0.55357426404953
tfidf,116,1107,17,5,0.047619047619047616,0.29411764705882354,0.8,0.43010752688172044,0.6846961975097656,0.655387818813324
tfidf,117,1108,21,5,0.0,0.09523809523809523,0.6,0.1643835616438356,0.5242645740509033,0.4629741907119751
tfidf,118,1109,10,5,0.0,0.3,0.6,0.4,0.5557839870452881,0.5861086845397949
tfidf,119,111,14,5,0.0,0.0,0.0,0.0,0.46338367462158203,0.5231807827949524
tfidf,120,1110,8,5,0.18181818181818182,0.625,0.8,0.7017543859649122,0.7210663557052612,0.6695404648780823
tfidf,121,1111,8,5,0.0,0.0,0.0,0.0,0.36733168363571167,0.4439612030982971
tfidf,122,1112,9,5,0.07692307692307693,0.3333333333333333,0.6,0.42857142857142855,0.7015185952186584,0.872822105884552
tfidf,123,1113,17,5,0.047619047619047616,0.35294117647058826,0.6,0.4444444444444445,0.6409857273101807,0.6423479914665222
tfidf,124,1114,12,5,0.0,0.4166666666666667,0.6,0.49180327868852464,0.6622639894485474,0.7712723612785339
tfidf,125,1115,17,5,0.0,0.29411764705882354,0.8,0.43010752688172044,0.5956477522850037,0.6345446109771729
tfidf,126,1116,8,5,0.0,0.25,0.2,0.22222222222222224,0.5619616508483887,0.7190362215042114
tfidf,127,1117,13,5,0.125,0.46153846153846156,1.0,0.631578947368421,0.7433253526687622,0.8098742365837097
tfidf,128,1118,9,5,0.07692307692307693,0.5555555555555556,0.8,0.6557377049180328,0.6900724172592163,0.6207295656204224
tfidf,129,1119,8,5,0.08333333333333333,0.25,0.4,0.3076923076923077,0.6038671731948853,0.6791056394577026
tfidf,130,112,13,5,0.0,0.38461538461538464,0.6,0.46875,0.667601466178894,0.6587896943092346
tfidf,131,1120,14,5,0.05555555555555555,0.07142857142857142,0.2,0.10526315789473682,0.4749734699726105,0.45332518219947815
tfidf,132,1121,10,5,0.0,0.6,0.8,0.6857142857142857,0.7472494840621948,0.6718705296516418
tfidf,133,1122,9,5,0.0,0.3333333333333333,0.6,0.42857142857142855,0.5873971581459045,0.5614169836044312
tfidf,134,1123,12,5,0.0625,0.5,0.8,0.6153846153846154,0.710896372795105,0.8417386412620544
tfidf,135,1124,13,5,0.125,0.23076923076923078,1.0,0.375,0.7569113969802856,0.6639384627342224
tfidf,136,1125,8,5,0.08333333333333333,0.375,0.8,0.5106382978723405,0.7382216453552246,0.868488609790802
tfidf,137,1126,12,5,0.0625,0.16666666666666666,0.6,0.2608695652173913,0.6630508899688721,0.8226683735847473
tfidf,138,1127,10,5,0.0,0.3,0.8,0.4363636363636363,0.6793659925460815,0.807311475276947
tfidf,139,1128,14,5,0.05555555555555555,0.14285714285714285,0.6,0.23076923076923073,0.6442230939865112,0.6295332908630371
tfidf,140,1129,14,5,0.05555555555555555,0.35714285714285715,0.6,0.44776119402985076,0.6229388117790222,0.7638177871704102
tfidf,141,113,9,5,0.07692307692307693,0.6666666666666666,1.0,0.8,0.7868144512176514,0.8712670803070068
