K,topic,npmi,top_words
40,24,0.1907710754289789,"['school', 'students', 'high', 'high school', 'program', 'middle', 'school students', 'activities', 'middle school', 'schools']"
40,25,0.09410248224328972,"['students', 'college', 'student', 'research', 'community', 'academic', 'experiences', 'success', 'support', 'black']"
40,26,0.30559628803759414,"['gender', 'women', 'female', 'girls', 'career', 'male', 'differences', 'fields', 'female students', 'gap']"
40,27,0.1756950911074544,"['teachers', 'teacher', 'classroom', 'teaching', 'practices', 'professional', 'development', 'practice', 'learning', 'professional development']"
40,28,0.13188232767140382,"['research', 'space', 'education', 'national', 'project', 'states', 'united', 'united states', 'science', 'international']"
40,29,0.17448164923607906,"['course', 'students', 'courses', 'student', 'calculus', 'undergraduate', 'class', 'semester', 'introductory', 'instructors']"
40,30,0.1851794809274258,"['teachers', 'teacher', 'knowledge', 'teaching', 'mathematics teachers', 'education', 'teacher education', 'content', 'prospective', 'preservice']"
40,31,0.18558973063690953,"['group', 'students', 'experimental', 'control', 'test', 'intervention', 'groups', 'study', 'post', 'effect']"
40,32,0.034147076164934655,"['education', 'mathematics education', 'research', 'social', 'chapter', 'theoretical', 'theory', 'paper', 'issues', 'article']"
40,33,0.06563072102441468,"['learning', 'students', 'model', 'research', 'based', 'ability', 'development', 'school', 'study', 'student']"
40,34,0.118027921475477,"['literacy', 'south', 'creativity', 'rural', 'learners', 'africa', 'resources', 'african', 'cultural', 'creative']"
40,35,0.18123038749835052,"['self', 'students', 'efficacy', 'attitudes', 'self efficacy', 'anxiety', 'study', 'factors', 'positive', 'motivation']"
40,36,0.08975091512655022,"['language', 'english', 'students', 'disabilities', 'special', 'numeracy', 'writing', 'reading', 'education', 'instruction']"
40,37,0.047968935333425625,"['teaching', 'education', 'mathematical', 'new', 'history', 'university', 'article', 'modern', 'process', 'methods']"
40,38,0.0916927321209485,"['physics', 'systems', 'theory', 'concepts', 'equations', 'linear', 'book', 'applications', 'using', 'methods']"
40,39,0.11490839812527878,"['math', 'cognitive', 'number', 'arithmetic', 'skills', 'mathematical', 'ability', 'numbers', 'numerical', 'fractions']"
50,0,0.1676944815604163,"['studies', 'review', 'research', 'literature', 'systematic', 'education', 'articles', 'analysis', 'meta', 'interventions']"
50,1,0.11664722066978328,"['steam', 'education', 'abstract', 'creativity', 'arts', 'available', 'art', 'abstract available', 'music', 'creative']"
50,2,0.07301080519331109,"['learning', 'mathematical', 'students', 'understanding', 'research', 'conceptual', 'knowledge', 'ways', 'use', 'concepts']"
50,3,0.10055064705772263,"['primary', 'school', 'results', 'primary school', 'pupils', 'la', 'mathematical', 'en', 'education', 'textbooks']"
50,4,0.08735490892102636,"['education', 'educational', 'training', 'development', 'higher', 'higher education', 'competencies', 'quality', 'technologies', 'future']"
50,5,0.10252398796542293,"['questions', 'geometry', 'open', 'geogebra', 'errors', 'geometric', 'students', 'ended', 'use', 'answer']"
50,6,0.07431674292876578,"['international', 'countries', 'education', 'ict', 'technology', 'use', 'pisa', 'schools', 'study', 'educational']"
50,7,0.13466634181326625,"['achievement', 'performance', 'students', 'academic', 'school', 'student', 'grade', 'study', 'schools', 'scores']"
50,8,0.09845591357184465,"['design', 'based', 'learning', 'students', 'project', 'physics', 'knowledge', 'activities', 'based learning', 'inquiry']"
50,9,0.17800485204465716,"['science', 'computer', 'computer science', 'mathematics science', 'science mathematics', 'science education', 'sciences', 'biology', 'chemistry', 'scientific']"
50,10,0.23041075466319283,"['digital', 'game', 'programming', 'computational', 'games', 'robotics', 'thinking', 'learning', 'computational thinking', 'ct']"
50,11,0.09310225851387006,"['secondary', 'school', 'level', 'secondary school', 'education', 'university', 'students', 'statistics', 'secondary education', 'year']"
50,12,0.3000046160285001,"['service', 'pre', 'pre service', 'service teachers', 'teachers', 'modeling', 'service mathematics', 'mathematical modeling', 'mathematics teachers', 'service teacher']"
50,13,0.1105247816190073,"['model', 'analysis', 'evaluation', 'statistical', 'quality', 'instrument', 'validity', 'factor', 'used', 'results']"
50,14,0.10672303983886906,"['data', 'based', 'model', 'using', 'learning', 'paper', 'algorithm', 'information', 'network', 'tree']"
50,15,0.1622622309865683,"['assessment', 'spatial', 'test', 'ability', 'assessments', 'tests', 'items', 'testing', 'scale', 'item']"
50,16,0.48314053111644023,"['stem', 'science', 'technology', 'engineering', 'science technology', 'technology engineering', 'engineering mathematics', 'stem education', 'education', 'mathematics stem']"
50,17,0.23412457226378108,"['2025', '2025 elsevier', 'ai', 'learning', 'intelligence', 'education', 'educational', 'artificial intelligence', 'artificial', 'potential']"
50,18,0.43376887340100184,"['online', 'learning', '19', 'covid', 'pandemic', 'covid 19', 'face', 'distance', 'online learning', '19 pandemic']"
50,19,0.25178883019962933,"['children', 'early', 'childhood', 'early childhood', 'parents', 'development', 'child', 'preschool', 'education', 'young']"
50,20,0.18281564214177462,"['skills', 'communication', 'century', '21st', '21st century', 'calculus', 'skill', 'critical', 'students', 'critical thinking']"
50,21,0.08374219746668957,"['design', 'mobile', 'video', 'educational', 'learning', 'based', 'education', 'using', 'conference', 'robot']"
