EID_clean,crs_status,crs_community,crs_mapped_keywords,crs_total_keywords,lda_topic_k5,lda_probability_k5,lda_topic_k10,lda_probability_k10,lda_topic_k15,lda_probability_k15,lda_topic_k20,lda_probability_k20,lda_topic_k30,lda_probability_k30,lda_topic_k40,lda_probability_k40,lda_topic_k50,lda_probability_k50
2-s2.0-84894122836,assigned,1.0,3,5,0,0.9920879681517158,7,0.7588004838932109,7,0.8471178155794621,19,0.4880480536872148,7,0.6405380843362866,7,0.6493758349037027,7,0.36499247281006714
2-s2.0-84894120345,assigned,0.0,3,5,2,0.2912853694821528,3,0.3213033869481723,2,0.26802189627066436,2,0.21006709672615917,8,0.27642487247571856,8,0.2566236125304475,43,0.22668969422842353
2-s2.0-84894065689,unassigned,,0,5,1,0.4689742574538907,6,0.8354007420301894,14,0.7342520516422477,4,0.569295553992818,4,0.43168575907444956,37,0.6528660769248168,37,0.4217231301577619
2-s2.0-84893961908,assigned,2.0,3,5,4,0.5310929037380882,6,0.3203521423195201,14,0.4567445599175976,14,0.3184242474892138,18,0.23169702174816947,28,0.2531427795332455,49,0.1848227554845303
2-s2.0-84893818428,assigned,0.0,3,5,3,0.5741164954951641,8,0.35613129689935746,10,0.3918813074983037,10,0.3224712373661942,21,0.30261201735817034,21,0.2830459251993832,43,0.22407991493630314
2-s2.0-84893683058,assigned,0.0,3,5,3,0.40997613157166696,6,0.3630523416015104,14,0.4086428248322762,14,0.3432406693652091,21,0.42259443882806375,21,0.42055939219750343,10,0.3005558119264081
2-s2.0-84893609024,unassigned,,0,5,1,0.6238125577707303,6,0.4517919103388064,14,0.6490138164269813,14,0.45746570823635563,14,0.24074420604306143,2,0.32342483128552546,49,0.24837592143762618
2-s2.0-84893608648,assigned,0.0,1,5,1,0.7317986704079716,1,0.5170363151708667,1,0.40576956904904365,4,0.23866767620247892,28,0.27526375772746775,28,0.2472626083716707,28,0.2560844757803048
2-s2.0-84893579031,assigned,0.0,1,5,1,0.4091673370604683,9,0.6254274914687671,9,0.5526367647545622,13,0.4332710130932983,25,0.3008531004982183,25,0.36996849990100733,25,0.3308018133318128
2-s2.0-84893340581,assigned,2.0,4,5,0,0.42423673103545656,9,0.5167576268531864,11,0.2932944049866801,11,0.351094459513729,29,0.28757292756164643,23,0.26091697117082163,48,0.2801621906361245
2-s2.0-84893332793,ambiguous,,2,5,0,0.3874022436402454,9,0.5384506977097316,13,0.4395071988271341,13,0.3868723512524042,26,0.2531872997659843,26,0.2610357396020963,48,0.30129787637294514
2-s2.0-84893326481,ambiguous,,2,5,1,0.5433872201670047,9,0.6274227435399614,11,0.6497368663935584,11,0.4573038062751132,29,0.3904018019642826,29,0.412284408032196,18,0.23052771444098974
2-s2.0-84893322715,assigned,2.0,2,5,1,0.6245765378859974,9,0.6205351993443428,13,0.4335884308324109,13,0.5789697568997247,23,0.48085600215813606,23,0.37123770874618717,48,0.4530550170395206
2-s2.0-84893317959,assigned,2.0,3,5,1,0.7954797341839619,1,0.5188128586590672,1,0.40269216482242975,4,0.31377495796887794,4,0.3104712625991833,23,0.3418492741540671,48,0.3099029661835572
2-s2.0-84893310505,assigned,2.0,2,5,1,0.37838067623992383,1,0.33743101563578676,9,0.40806933515467186,2,0.3172689993297998,2,0.2845639579329335,26,0.2572707584173102,2,0.2688167081306441
2-s2.0-84893308260,assigned,0.0,2,5,4,0.34175393885349736,5,0.29384406362714743,11,0.592250920925081,11,0.41866332941663986,18,0.34723471920217897,18,0.25063555574588153,29,0.25404076495619643
2-s2.0-84893299565,unassigned,,0,5,0,0.3939615405717309,7,0.48725671814093685,14,0.4351992504638368,14,0.4247516196631629,11,0.32597786976356136,36,0.30173851331834156,36,0.2737854244111882
2-s2.0-84893285189,assigned,1.0,3,5,1,0.6485062694026017,6,0.8867260954910172,14,0.9297084528059807,14,0.8559453907368124,14,0.6909746061414609,14,0.5767222388536356,14,0.45559390618630086
2-s2.0-84893281570,unassigned,,0,5,1,0.7386951934043849,9,0.6030315883747623,13,0.39875141597238983,11,0.3300441220861913,29,0.4272294350003862,29,0.3040275456626045,48,0.38703304099579205
2-s2.0-84893279251,assigned,2.0,1,5,0,0.46058774559624,0,0.5000565171047702,0,0.38565193808736115,0,0.3964331020978444,26,0.25631407544941687,26,0.24994484372932427,26,0.24245320109692875
2-s2.0-84893272610,unassigned,,0,5,3,0.5735704213322649,5,0.42485413441934683,11,0.29762133519224127,15,0.3984200788890509,13,0.4421598762297279,15,0.28986382752882905,13,0.5151607518721816
2-s2.0-84893265884,assigned,2.0,2,5,3,0.4938723959234812,6,0.49277818968362475,14,0.5362852587333472,14,0.5322524050896902,14,0.28300333200594535,17,0.21605760052019443,49,0.4298771371803904
2-s2.0-84893261748,assigned,2.0,3,5,1,0.5097241189237636,9,0.6902811056446855,13,0.7406678677080053,13,0.63811924867173,24,0.483556848743085,24,0.3482687051878476,48,0.4961516008592481
2-s2.0-84893260132,assigned,0.0,3,5,0,0.4090751919945094,7,0.3993125839666148,2,0.31920801501130425,14,0.2199155865263055,11,0.21789746808235883,31,0.3089152693969668,49,0.2922196647469962
2-s2.0-84893257689,ambiguous,,2,5,4,0.40948174635073725,9,0.4140504940946427,11,0.28699416738522704,8,0.3290770416376108,23,0.33418781448003726,23,0.2503650979324626,23,0.2788508481720059
2-s2.0-84893233125,ambiguous,,2,5,4,0.7458316638861461,4,0.4463448541652995,13,0.542983287436428,8,0.616041307508556,8,0.3066797950810167,8,0.38652653399100995,8,0.3138191427416943
2-s2.0-84893226810,ambiguous,,2,5,4,0.5747777408362323,4,0.3996748244547733,14,0.3741657476446909,14,0.5191897217535639,14,0.2313806767377475,16,0.2256617649704792,49,0.2295563128022886
2-s2.0-84893224539,unassigned,,0,5,4,0.380298169426839,8,0.30276595431225317,14,0.4709672033558608,14,0.24579450588667062,18,0.21219059397524398,23,0.18887620682816886,49,0.28788273985998636
2-s2.0-84893212929,assigned,2.0,3,5,1,0.5203680027615996,9,0.6715449071770788,13,0.5835185359022466,13,0.6032666692590677,23,0.571895732538151,23,0.3717588207679958,48,0.40366307155778186
