source,target,weight,sim_count,sim_mean
mathematics education,university,20,20,0.5013063549995422
mathematics education,university education,22,22,0.5476373434066772
mathematics education,university level,24,24,0.47706514596939087
mathematics education,university mathematics,27,27,0.8936066627502441
mathematics education,university students,107,107,0.48448026180267334
mathematics education,urban education,41,41,0.46794387698173523
mathematics education,urban schools,20,20,0.4558735489845276
mathematics education,vocational education,38,38,0.45089954137802124
mathematics teacher,teacher education,70,70,0.6065784096717834
mentoring,stem education,35,35,0.4586664140224457
middle school,stem education,64,64,0.4822925627231598
numeracy,health literacy,20,20,0.4151381552219391
numeracy,literacy,42,42,0.5198893547058105
outreach programs,stem education,21,21,0.40043240785598755
pedagogical content knowledge,pre-service teachers,20,20,0.40877237915992737
pedagogical content knowledge,professional development,22,22,0.4370282292366028
pedagogical content knowledge,teacher education,98,98,0.5302463173866272
pedagogical content knowledge,teacher knowledge,32,32,0.6149797439575195
pedagogy,stem education,30,30,0.6460346579551697
personalized learning,artificial intelligence,32,32,0.44843944907188416
physics education,stem education,39,39,0.5530993938446045
pre-service teachers,stem education,57,57,0.4218294322490692
preservice teachers,stem education,34,34,0.4779611825942993
preservice teachers,teacher education,129,129,0.790821373462677
preservice teachers,teacher preparation,24,24,0.7885859608650208
primary education,stem education,36,36,0.6381559371948242
problem solving,computational thinking,48,48,0.5056800246238708
problem solving,mathematical thinking,37,37,0.47930431365966797
problem-solving,computational thinking,23,23,0.543476402759552
procedural knowledge,conceptual knowledge,35,35,0.7630327343940735
professional development,lesson study,37,37,0.5071462392807007
professional development,stem education,162,162,0.6071347594261169
professional development,teacher development,22,22,0.6704268455505371
professional development,teacher education,122,122,0.5950677394866943
professional development,teacher learning,46,46,0.512755811214447
professional development,teacher training,58,58,0.5654142498970032
programming,computational thinking,44,44,0.4996366500854492
robotics,computational thinking,26,26,0.406821072101593
science,technology,68,68,0.6653106212615967
science education,high school students,27,27,0.40001463890075684
science education,higher education,35,35,0.5835882425308228
science education,informal learning,23,23,0.42654770612716675
science education,inquiry-based learning,22,22,0.4295565187931061
science education,middle school,22,22,0.4557536542415619
science education,preservice teachers,24,24,0.41490447521209717
science education,professional development,48,48,0.5295087099075317
science education,steam education,29,29,0.46665582060813904
science education,stem careers,22,22,0.4597567915916443
science education,stem education,334,334,0.565416693687439
science education,student achievement,26,26,0.5710626840591431
science education,student learning,23,23,0.6104048490524292
science education,teacher development,30,30,0.5576819181442261
science education,teacher education,60,60,0.6011883616447449
