EID_clean,crs_status,crs_community,crs_mapped_keywords,crs_total_keywords,lda_topic_k5,lda_probability_k5,lda_topic_k10,lda_probability_k10,lda_topic_k15,lda_probability_k15,lda_topic_k20,lda_probability_k20,lda_topic_k30,lda_probability_k30,lda_topic_k40,lda_probability_k40,lda_topic_k50,lda_probability_k50
2-s2.0-84896331327,assigned,2.0,2,5,3,0.8232229192631182,3,0.848528686324106,3,0.7770144449319852,3,0.588493628349125,3,0.4354862063632174,3,0.3343031495702939,42,0.3253219280901772
2-s2.0-84896275753,assigned,0.0,1,5,1,0.5401576090736057,8,0.5019183698751437,4,0.3962695670881484,4,0.36502646837226776,26,0.35022802204858805,26,0.46033630165770756,43,0.3691583123800455
2-s2.0-84896132323,assigned,1.0,2,5,4,0.5805648388021999,4,0.506988651086003,4,0.4185819256837355,10,0.25809830817081614,20,0.42019310813942595,36,0.37993121600450136,36,0.36587934691457796
2-s2.0-84895400742,assigned,0.0,3,5,0,0.6237326665699758,0,0.270389104603856,0,0.3794894274287701,19,0.3440010943385152,24,0.42409380509498457,24,0.38417675927712364,24,0.33708065607997384
2-s2.0-84895297164,ambiguous,,3,5,4,0.520745972031931,4,0.35816291467385375,0,0.3573053879372871,19,0.3402529924749507,19,0.23511080594340947,37,0.25468656624562697,37,0.1364404441169787
2-s2.0-84895223620,ambiguous,,2,5,4,0.600774713910218,8,0.39668392091226184,8,0.37529927304997907,8,0.3896493048151578,27,0.21094676371648777,19,0.24389805474877668,48,0.31607655765409615
2-s2.0-84894568096,unassigned,,0,5,0,0.9696492863556792,5,0.5546976067674815,13,0.30877561096453887,15,0.574663021373761,24,0.4584590488599205,24,0.4226095709602488,24,0.4387854114732066
2-s2.0-84894284129,ambiguous,,2,5,2,0.5360614568453169,6,0.42516479062789375,0,0.4076266678626622,19,0.6367980982699968,19,0.5298148173915143,19,0.5217937441092881,19,0.48637772615306085
2-s2.0-84894281305,assigned,4.0,1,5,0,0.5099725249482917,5,0.43550473504056253,12,0.7923469085275298,12,0.8405028397826108,12,0.7573668704763136,12,0.6911806452675747,12,0.6343532023303002
2-s2.0-84894241131,assigned,0.0,4,5,2,0.6653590725250137,6,0.6792452508785394,6,0.568127248146228,6,0.5306349984680192,19,0.5161835963421368,19,0.41504416002606404,49,0.452659613345416
2-s2.0-84894236879,assigned,0.0,2,5,1,0.7762896213056328,1,0.4175576356707603,8,0.4239818671507977,1,0.38434434915552557,28,0.21163955842302648,28,0.23709223929927964,8,0.1791936261780535
2-s2.0-84894206937,unassigned,,0,5,4,0.8985052686560869,4,0.7170734822801328,0,0.581581499085151,19,0.4249378424850218,19,0.3310121227646112,19,0.3878195855610302,19,0.3179354386585426
