doc,n_8b,n_70b,soft_recall,soft_precision,soft_f1,soft_mean_max,jaccard_lex,global_sem_sim,identical_set
283,5,5,1.0,1.0,1.0,0.9141719937324524,0.25,0.9240907430648804,0.0
284,5,5,0.8,0.8,0.8000000000000002,0.8896063566207886,0.42857142857142855,0.8464838266372681,0.0
285,5,5,0.8,0.6,0.6857142857142857,0.8035522103309631,0.42857142857142855,0.9194785356521606,0.0
286,5,5,0.8,0.8,0.8000000000000002,0.8063300848007202,0.1111111111111111,0.7970037460327148,0.0
287,5,5,0.8,0.8,0.8000000000000002,0.8321408033370972,0.42857142857142855,0.8440877199172974,0.0
288,5,5,0.6,0.6,0.6,0.7192645072937012,0.1111111111111111,0.7494005560874939,0.0
289,5,5,0.4,0.4,0.4000000000000001,0.657378613948822,0.1111111111111111,0.8583629131317139,0.0
290,5,5,1.0,1.0,1.0,1.0,1.0,0.9843305349349976,1.0
291,5,5,0.4,0.6,0.48,0.6372909545898438,0.0,0.7512125372886658,0.0
292,5,5,0.6,0.6,0.6,0.8380270004272461,0.25,0.8490069508552551,0.0
293,5,5,0.6,0.6,0.6,0.6966773271560669,0.25,0.8434085845947266,0.0
294,5,5,0.8,0.8,0.8000000000000002,0.9194284677505493,0.6666666666666666,0.95108562707901,0.0
295,5,5,0.6,0.6,0.6,0.7389460802078247,0.42857142857142855,0.8093833923339844,0.0
296,5,5,0.8,0.8,0.8000000000000002,0.9133119583129883,0.42857142857142855,0.9536415338516235,0.0
297,5,5,1.0,1.0,1.0,0.924714207649231,0.42857142857142855,0.9753649830818176,0.0
298,5,5,1.0,0.8,0.888888888888889,0.9266787767410278,0.42857142857142855,0.9684080481529236,0.0
299,5,5,0.8,0.8,0.8000000000000002,0.879436194896698,0.42857142857142855,0.9390813112258911,0.0
300,5,5,0.4,0.4,0.4000000000000001,0.6388422250747681,0.1111111111111111,0.746206521987915,0.0
301,5,5,0.8,1.0,0.888888888888889,0.9120013117790222,0.6666666666666666,0.9202737212181091,0.0
302,5,5,0.8,0.8,0.8000000000000002,0.8903073072433472,0.6666666666666666,0.9343482851982117,0.0
303,5,5,0.6,0.6,0.6,0.7989933490753174,0.25,0.8464547395706177,0.0
304,5,5,0.6,0.6,0.6,0.7787764072418213,0.42857142857142855,0.8821389079093933,0.0
305,5,5,0.6,0.6,0.6,0.7772702574729919,0.42857142857142855,0.8906843066215515,0.0
306,5,5,0.6,0.6,0.6,0.7361418604850769,0.42857142857142855,0.8705036044120789,0.0
307,5,5,0.8,0.8,0.8000000000000002,0.878525972366333,0.42857142857142855,0.9567621946334839,0.0
308,5,5,0.4,0.4,0.4000000000000001,0.5906509160995483,0.1111111111111111,0.6979838013648987,0.0
309,5,5,1.0,1.0,1.0,0.9746869206428528,0.6666666666666666,0.9909308552742004,0.0
310,5,5,1.0,0.8,0.888888888888889,0.9096195697784424,0.6666666666666666,0.9370841979980469,0.0
311,5,5,0.8,0.8,0.8000000000000002,0.9359424710273743,0.6666666666666666,0.91800457239151,0.0
312,5,5,0.8,0.8,0.8000000000000002,0.9119658470153809,0.42857142857142855,0.9372025728225708,0.0
313,5,5,0.8,0.8,0.8000000000000002,0.8741705417633057,0.42857142857142855,0.9113251566886902,0.0
314,5,5,0.6,0.8,0.6857142857142857,0.7972068190574646,0.1111111111111111,0.7792531251907349,0.0
315,5,5,0.8,0.8,0.8000000000000002,0.8736974596977234,0.6666666666666666,0.9558557868003845,0.0
316,5,5,1.0,1.0,1.0,0.92125403881073,0.25,0.9639993906021118,0.0
317,5,5,0.8,0.8,0.8000000000000002,0.8440702557563782,0.1111111111111111,0.8990955948829651,0.0
318,5,5,0.8,1.0,0.888888888888889,0.8900803327560425,0.42857142857142855,0.9303774833679199,0.0
319,5,5,0.8,0.8,0.8000000000000002,0.8649098873138428,0.42857142857142855,0.9147939682006836,0.0
320,5,5,0.4,0.4,0.4000000000000001,0.655709981918335,0.0,0.7715610265731812,0.0
321,5,5,1.0,1.0,1.0,0.9576866626739502,0.6666666666666666,0.9836916923522949,0.0
322,5,5,0.8,0.8,0.8000000000000002,0.8997350931167603,0.6666666666666666,0.9461599588394165,0.0
323,5,5,0.8,0.8,0.8000000000000002,0.8332149982452393,0.42857142857142855,0.9201109409332275,0.0
324,5,5,1.0,1.0,1.0,0.9629890322685242,0.6666666666666666,0.9387843012809753,0.0
325,5,5,0.8,1.0,0.888888888888889,0.9010956287384033,0.42857142857142855,0.9729340672492981,0.0
326,5,5,1.0,0.8,0.888888888888889,0.925510048866272,0.6666666666666666,0.9195246696472168,0.0
327,5,5,0.8,0.8,0.8000000000000002,0.8318340182304382,0.25,0.8284263610839844,0.0
328,5,5,0.4,0.6,0.48,0.7336430549621582,0.1111111111111111,0.8518427610397339,0.0
329,5,5,0.8,0.8,0.8000000000000002,0.8765262365341187,0.42857142857142855,0.8890079259872437,0.0
330,5,5,0.4,0.4,0.4000000000000001,0.5973767042160034,0.1111111111111111,0.7900829911231995,0.0
331,5,5,0.8,0.8,0.8000000000000002,0.8399580717086792,0.1111111111111111,0.9271205067634583,0.0
332,5,5,0.6,0.6,0.6,0.7840564250946045,0.25,0.765995442867279,0.0
333,5,5,0.8,0.8,0.8000000000000002,0.8244106769561768,0.25,0.8936336040496826,0.0
334,5,5,0.6,0.6,0.6,0.7156374454498291,0.0,0.8209492564201355,0.0
335,5,5,1.0,1.0,1.0,0.9927722811698914,0.6666666666666666,0.979805588722229,0.0
336,5,5,0.8,0.6,0.6857142857142857,0.8668625354766846,0.25,0.8876580595970154,0.0
337,5,5,0.8,0.8,0.8000000000000002,0.8252398371696472,0.1111111111111111,0.888293445110321,0.0
338,5,5,0.6,0.6,0.6,0.7181877493858337,0.25,0.9051563143730164,0.0
339,5,5,0.6,0.6,0.6,0.6755883693695068,0.0,0.8591058254241943,0.0
340,5,5,0.6,1.0,0.7499999999999999,0.8802554607391357,0.42857142857142855,0.9246704578399658,0.0
341,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,5,5,0.6,0.8,0.6857142857142857,0.7597579956054688,0.0,0.7554119229316711,0.0
343,5,5,0.8,0.8,0.8000000000000002,0.8517393469810486,0.25,0.8282726407051086,0.0
344,5,5,0.8,0.8,0.8000000000000002,0.8852224349975586,0.6666666666666666,0.9246830940246582,0.0
345,5,5,1.0,1.0,1.0,0.9840126037597656,0.6666666666666666,0.9945201277732849,0.0
346,5,5,0.4,0.6,0.48,0.6498668193817139,0.0,0.8414730429649353,0.0
347,5,5,0.8,0.8,0.8000000000000002,0.8017054200172424,0.25,0.8740372657775879,0.0
348,5,5,0.4,0.4,0.4000000000000001,0.6444582939147949,0.25,0.6430087089538574,0.0
349,5,5,0.8,1.0,0.888888888888889,0.8609903454780579,0.25,0.8689545392990112,0.0
350,5,5,0.6,0.6,0.6,0.8337610960006714,0.42857142857142855,0.9087772369384766,0.0
351,5,5,0.8,1.0,0.888888888888889,0.8999335169792175,0.6666666666666666,0.8447113037109375,0.0
352,5,5,1.0,1.0,1.0,1.000000238418579,1.0,1.0,1.0
353,5,5,0.8,0.8,0.8000000000000002,0.7385222911834717,0.0,0.8456769585609436,0.0
